AVI,part,VRS,Part_No,lot,vrs_id,strips,CheckTime(min),OK,NG,ALL,filter rate,visper,AI,size,type,model,Date_Code
20211221,V2-10VP32907QA-NO3-R1,2021/12/21,10VP32907QA,1130.0,[1130-B6]_4,289,41.0,22695.0,7652.0,30347.0,0.75,V2,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-1X-R1,2021/12/22,08VP32908RB,1038.0,[38-Y8]_3,56,18.0,0.0,6164.0,6164.0,0.0,V2,Unactivated,18UM,1X,R1,
20211221,V2-08VP32908RB-2X-R1,2021/12/22,08VP32908RB,1038.0,[38-Y10]_2,71,9.0,6468.0,3044.0,9512.0,0.68,V2,ON,18UM,2X,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1034.0,[1034-Y9]_5_P1,134,14.0,2419.0,2301.0,4720.0,0.51,V3,ON,10UM,NO3,Z1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1038.0,[38-Y2]_9,229,65.0,0.0,27058.0,27058.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1018.0,[1018-G1]_1,229,44.0,9058.0,7500.0,16558.0,0.55,V2,ON,18UM,NO3,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1025.0,[25-y3]_20,230,29.0,0.0,12458.0,12458.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/22,10VPJ5903MA,1031.0,[1031-G8]_18_P1,149,27.0,0.0,4105.0,4105.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211221,V1-10VP32907QA-NO3-R1,2021/12/21,10VP32907QA,1130.0,[130-G4]_2,229,19.0,0.0,4784.0,4784.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1038.0,[38-Y6]_13,229,57.0,0.0,27519.0,27519.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1034.0,[1034-Y14]_10_P1,143,15.0,1756.0,2912.0,4668.0,0.38,V3,ON,10UM,NO3,Z1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1025.0,[25-R1]_15,229,34.0,8871.0,6457.0,15328.0,0.58,V2,ON,18UM,NO3,R1,
20211221,V4-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[31-R3]_7_P2,133,17.0,0.0,4449.0,4449.0,0.0,V4,Unactivated,10UM,NO3,Z1,
20211221,V4-10VPJ5903MA-10UM-4X-Z1,2021/12/22,10VPJ5903MA,1031.0,[1031-R6]_1_P2,4,0.0,99.0,248.0,347.0,0.29,V4,ON,10UM,4X,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1018.0,[1018-B5]_5,229,28.0,4333.0,2502.0,6835.0,0.63,V1,ON,18UM,NO3,R1,
20211221,V3-08VPJ5905PB-10UM-NO3-Z1,2021/12/22,08VPJ5905PB,1025.0,[1025-Y1]_2_P1,150,26.0,0.0,6521.0,6521.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1025.0,[25-R5]_19,229,37.0,8816.0,7322.0,16138.0,0.55,V2,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1018.0,[1018-G2]_2,229,25.0,10175.0,6908.0,17083.0,0.6,V2,ON,18UM,NO3,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1038.0,[38-O6]_14,229,24.0,0.0,14591.0,14591.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1038.0,[38-Y3]_10,230,50.0,15428.0,8955.0,24383.0,0.63,V2,ON,18UM,NO3,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1038.0,[38-O4]_12,229,58.0,0.0,16778.0,16778.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V4-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[31-R3]_7_P1,133,18.0,0.0,6434.0,6434.0,0.0,V4,Unactivated,10UM,NO3,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1018.0,[1018-B4]_4,230,46.0,5642.0,2889.0,8531.0,0.66,V1,ON,18UM,NO3,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1018.0,[1018-B8]_8,203,26.0,5867.0,2748.0,8615.0,0.68,V1,ON,18UM,NO3,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1038.0,[38-O7]_15,1,,,,,,V1,OFF,18UM,NO3,R1,
20211221,V2-10VP32907QA-NO3-R1,2021/12/21,10VP32907QA,1130.0,[1130-B4]_3,229,54.0,0.0,17995.0,17995.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V4-10VPJ5903MA-10UM-1X-Z1,2021/12/22,10VPJ5903MA,1031.0,[1031-R5]_1_P1,7,0.0,34.0,106.0,140.0,0.24,V4,ON,10UM,1X,Z1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1025.0,[25-R2]_16,230,57.0,1827.0,13205.0,15032.0,0.12,V2,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1018.0,[1018-G4]_4,229,54.0,8738.0,6340.0,15078.0,0.58,V2,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1018.0,[1018-G5]_5,222,22.0,9476.0,6251.0,15727.0,0.6,V2,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1018.0,[1018-G6]_6,229,29.0,8620.0,6257.0,14877.0,0.58,V2,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-4X-R1,2021/12/22,08VP32908RB,1038.0,[38-Y9]_2,105,20.0,0.0,16169.0,16169.0,0.0,V2,Unactivated,18UM,4X,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1018.0,[1018-G3]_3,229,26.0,11002.0,8166.0,19168.0,0.57,V2,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1038.0,[38-Y5]_12,229,72.0,0.0,26492.0,26492.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-1X-R1,2021/12/22,08VP32908RB,1025.0,[1025-1X-R8]_4,69,8.0,0.0,4775.0,4775.0,0.0,V2,Unactivated,18UM,1X,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1038.0,[38-O5]_13,229,35.0,0.0,13336.0,13336.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/21,08VP32908RB,1038.0,[38-Y1]_8,229,62.0,0.0,23160.0,23160.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1025.0,[25-R7]_21,255,30.0,0.0,17845.0,17845.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-3X-R1,2021/12/22,08VP32908RB,1038.0,[38-Y11]_2,79,9.0,7733.0,5210.0,12943.0,0.6,V2,ON,18UM,3X,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1025.0,[25-R3]_17,229,37.0,0.0,16474.0,16474.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V4-10VPJ5903MA-10UM-4X-Z1,2021/12/22,10VPJ5903MA,1031.0,[1031-R6]_1_P1,4,0.0,64.0,129.0,193.0,0.33,V4,ON,10UM,4X,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1025.0,[25-y5]_22,230,36.0,0.0,8425.0,8425.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V2-08VP32908RB-1X-R1,2021/12/21,08VP32908RB,1018.0,[18-G9]_2,72,18.0,2780.0,2679.0,5459.0,0.51,V2,ON,18UM,1X,R1,
20211221,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1038.0,[38-Y4]_11,229,64.0,0.0,25448.0,25448.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211221,V4-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[31-R1]_5_P1,170,20.0,2162.0,2882.0,5044.0,0.43,V4,ON,10UM,NO3,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1018.0,[1018-B1]_1,229,27.0,0.0,8402.0,8402.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1025.0,[25-y1]_18,230,40.0,5583.0,3562.0,9145.0,0.61,V1,ON,18UM,NO3,R1,
20211221,V2-08VP32908RB-3X-R1,2021/12/21,08VP32908RB,1018.0,[18-G11]_1,48,7.0,2421.0,2008.0,4429.0,0.55,V2,ON,18UM,3X,R1,
20211221,V4-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[31-R2]_6_P2,158,18.0,1826.0,3982.0,5808.0,0.31,V4,ON,10UM,NO3,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1038.0,[38-O1]_9,229,32.0,0.0,12285.0,12285.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1018.0,[1018-B6]_6,229,29.0,5529.0,3084.0,8613.0,0.64,V1,ON,18UM,NO3,R1,
20211222,V4-08VPJ5905PB-10UM-NO3-Z1,2021/12/22,08VPJ5905PB,1025.0,[1025-B7]_4_P1,143,25.0,2919.0,7320.0,10239.0,0.29,V4,ON,10UM,NO3,Z1,
20211222,V3-08VPJ5905PB-10UM-NO3-Z1,2021/12/22,08VPJ5905PB,1025.0,[1025-Y2]_1_P1,119,23.0,0.0,4079.0,4079.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211222,V3-08VPJ5905PB-10UM-NO3-Z1,2021/12/23,08VPJ5905PB,1025.0,[25-Y10]_5_P2,73,8.0,947.0,2148.0,3095.0,0.31,V3,ON,10UM,NO3,Z1,
20211222,V1-10VP32907QA-NO3-R1,2021/12/23,10VP32907QA,1135.0,[135-R6]_6,229,47.0,3836.0,3239.0,7075.0,0.54,V1,ON,18UM,NO3,R1,
20211222,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1005.0,[1005-B4]_4,230,32.0,0.0,16782.0,16782.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211222,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1005.0,[1005-B1]_1,229,69.0,0.0,18111.0,18111.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211222,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/23,10VPJ5903MA,1036.0,[36-G5]_5_P1,157,39.0,1645.0,2842.0,4487.0,0.37,V3,ON,10UM,NO3,Z1,
